port,proto,name,desc
108,udp,snagas,SNA Gateway Access Server
109,tcp,pop2,Post Office Protocol - Version 2
109,udp,pop2,Post Office Protocol - Version 2
110,tcp,pop3,Post Office Protocol - Version 3
110,udp,pop3,Post Office Protocol - Version 3
111,tcp,sunrpc,SUN Remote Procedure Call
111,udp,sunrpc,SUN Remote Procedure Call
112,tcp,mcidas,McIDAS Data Transmission Protocol
112,udp,mcidas,McIDAS Data Transmission Protocol
113,tcp,ident,
113,udp,auth,Authentication Service
115,tcp,sftp,Simple File Transfer Protocol
115,udp,sftp,Simple File Transfer Protocol
116,tcp,ansanotify,ANSA REX Notify
116,udp,ansanotify,ANSA REX Notify
117,tcp,uucp-path,UUCP Path Service
117,udp,uucp-path,UUCP Path Service
118,tcp,sqlserv,SQL Services
118,udp,sqlserv,SQL Services
119,tcp,nntp,Network News Transfer Protocol
119,udp,nntp,Network News Transfer Protocol
120,tcp,cfdptkt,CFDPTKT
120,udp,cfdptkt,CFDPTKT
121,tcp,erpc,Encore Expedited Remote Pro.Call
121,udp,erpc,Encore Expedited Remote Pro.Call
122,tcp,smakynet,SMAKYNET
122,udp,smakynet,SMAKYNET
123,tcp,ntp,Network Time Protocol
123,udp,ntp,Network Time Protocol
124,tcp,ansatrader,ANSA REX Trader
124,udp,ansatrader,ANSA REX Trader
125,tcp,locus-map,Locus PC-Interface Net Map Ser
125,udp,locus-map,Locus PC-Interface Net Map Ser
126,tcp,nxedit,NXEdit
126,udp,nxedit,NXEdit
127,tcp,locus-con,Locus PC-Interface Conn Server
127,udp,locus-con,Locus PC-Interface Conn Server
128,tcp,gss-xlicen,GSS X License Verification
128,udp,gss-xlicen,GSS X License Verification
129,tcp,pwdgen,Password Generator Protocol
129,udp,pwdgen,Password Generator Protocol
130,tcp,cisco-fna,cisco FNATIVE
130,udp,cisco-fna,cisco FNATIVE
131,tcp,cisco-tna,cisco TNATIVE
131,udp,cisco-tna,cisco TNATIVE
132,tcp,cisco-sys,cisco SYSMAINT
132,udp,cisco-sys,cisco SYSMAINT
133,tcp,statsrv,Statistics Service
133,udp,statsrv,Statistics Service
134,tcp,ingres-net,INGRES-NET Service
134,udp,ingres-net,INGRES-NET Service
135,tcp,epmap,DCE endpoint resolution
135,udp,epmap,DCE endpoint resolution
136,tcp,profile,PROFILE Naming System
136,udp,profile,PROFILE Naming System
137,tcp,netbios-ns,NETBIOS Name Service
137,udp,netbios-ns,NETBIOS Name Service
138,tcp,netbios-dgm,NETBIOS Datagram Service
138,udp,netbios-dgm,NETBIOS Datagram Service
139,tcp,netbios-ssn,NETBIOS Session Service
139,udp,netbios-ssn,NETBIOS Session Service
140,tcp,emfis-data,EMFIS Data Service
140,udp,emfis-data,EMFIS Data Service
141,tcp,emfis-cntl,EMFIS Control Service
141,udp,emfis-cntl,EMFIS Control Service
142,tcp,bl-idm,Britton-Lee IDM
142,udp,bl-idm,Britton-Lee IDM
143,tcp,imap,Internet Message Access Protocol
143,udp,,Reserved
144,tcp,uma,Universal Management Architecture
144,udp,uma,Universal Management Architecture
145,tcp,uaac,UAAC Protocol
145,udp,uaac,UAAC Protocol
146,tcp,iso-tp0,ISO-IP0
146,udp,iso-tp0,ISO-IP0
147,tcp,iso-ip,ISO-IP
147,udp,iso-ip,ISO-IP
148,tcp,jargon,Jargon
148,udp,jargon,Jargon
149,tcp,aed-512,AED 512 Emulation Service
149,udp,aed-512,AED 512 Emulation Service
150,tcp,sql-net,SQL-NET
150,udp,sql-net,SQL-NET
151,tcp,hems,HEMS
151,udp,hems,HEMS
152,tcp,bftp,Background File Transfer Program
152,udp,bftp,Background File Transfer Program
153,tcp,sgmp,SGMP
153,udp,sgmp,SGMP
154,tcp,netsc-prod,NETSC
154,udp,netsc-prod,NETSC
155,tcp,netsc-dev,NETSC
155,udp,netsc-dev,NETSC
156,tcp,sqlsrv,SQL Service
156,udp,sqlsrv,SQL Service
157,tcp,knet-cmp,KNET/VM Command/Message Protocol
157,udp,knet-cmp,KNET/VM Command/Message Protocol
158,tcp,pcmail-srv,PCMail Server
158,udp,pcmail-srv,PCMail Server
159,tcp,nss-routing,NSS-Routing
159,udp,nss-routing,NSS-Routing
160,tcp,sgmp-traps,SGMP-TRAPS
160,udp,sgmp-traps,SGMP-TRAPS
161,tcp,snmp,SNMP
161,udp,snmp,SNMP
162,tcp,snmptrap,SNMPTRAP
162,udp,snmptrap,SNMPTRAP
163,tcp,cmip-man,CMIP/TCP Manager
163,udp,cmip-man,CMIP/TCP Manager
164,tcp,cmip-agent,CMIP/TCP Agent
164,udp,cmip-agent,CMIP/TCP Agent
165,tcp,xns-courier,Xerox
165,udp,xns-courier,Xerox
166,tcp,s-net,Sirius Systems
166,udp,s-net,Sirius Systems
167,tcp,namp,NAMP
167,udp,namp,NAMP
168,tcp,rsvd,RSVD
168,udp,rsvd,RSVD
169,tcp,send,SEND
169,udp,send,SEND
170,tcp,print-srv,Network PostScript
170,udp,print-srv,Network PostScript
171,tcp,multiplex,Network Innovations Multiplex
171,udp,multiplex,Network Innovations Multiplex
172,tcp,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,udp,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
173,tcp,xyplex-mux,Xyplex
173,udp,xyplex-mux,Xyplex
174,tcp,mailq,MAILQ
174,udp,mailq,MAILQ
175,tcp,vmnet,VMNET
175,udp,vmnet,VMNET
176,tcp,genrad-mux,GENRAD-MUX
176,udp,genrad-mux,GENRAD-MUX
177,tcp,xdmcp,X Display Manager Control Protocol
177,udp,xdmcp,X Display Manager Control Protocol
178,tcp,nextstep,NextStep Window Server
178,udp,nextstep,NextStep Window Server
179,tcp,bgp,Border Gateway Protocol
179,udp,bgp,Border Gateway Protocol
180,tcp,ris,Intergraph
180,udp,ris,Intergraph
181,tcp,unify,Unify
181,udp,unify,Unify
182,tcp,audit,Unisys Audit SITP
182,udp,audit,Unisys Audit SITP
183,tcp,ocbinder,OCBinder
183,udp,ocbinder,OCBinder
184,tcp,ocserver,OCServer
184,udp,ocserver,OCServer
185,tcp,remote-kis,Remote-KIS
185,udp,remote-kis,Remote-KIS
186,tcp,kis,KIS Protocol
186,udp,kis,KIS Protocol
187,tcp,aci,Application Communication Interface
187,udp,aci,Application Communication Interface
188,tcp,mumps,Plus Five's MUMPS
188,udp,mumps,Plus Five's MUMPS
189,tcp,qft,Queued File Transport
189,udp,qft,Queued File Transport
190,tcp,gacp,Gateway Access Control Protocol
190,udp,gacp,Gateway Access Control Protocol
191,tcp,prospero,Prospero Directory Service
191,udp,prospero,Prospero Directory Service
192,tcp,osu-nms,OSU Network Monitoring System
192,udp,osu-nms,OSU Network Monitoring System
193,tcp,srmp,Spider Remote Monitoring Protocol
193,udp,srmp,Spider Remote Monitoring Protocol
194,tcp,irc,Internet Relay Chat Protocol
194,udp,irc,Internet Relay Chat Protocol
195,tcp,dn6-nlm-aud,DNSIX Network Level Module Audit
195,udp,dn6-nlm-aud,DNSIX Network Level Module Audit
196,tcp,dn6-smm-red,DNSIX Session Mgt Module Audit Redir
196,udp,dn6-smm-red,DNSIX Session Mgt Module Audit Redir
197,tcp,dls,Directory Location Service
197,udp,dls,Directory Location Service
198,tcp,dls-mon,Directory Location Service Monitor
198,udp,dls-mon,Directory Location Service Monitor
199,tcp,smux,SMUX
199,udp,smux,SMUX
200,tcp,src,IBM System Resource Controller
200,udp,src,IBM System Resource Controller
201,tcp,at-rtmp,AppleTalk Routing Maintenance
201,udp,at-rtmp,AppleTalk Routing Maintenance
202,tcp,at-nbp,AppleTalk Name Binding
202,udp,at-nbp,AppleTalk Name Binding
203,tcp,at-3,AppleTalk Unused
203,udp,at-3,AppleTalk Unused
204,tcp,at-echo,AppleTalk Echo
204,udp,at-echo,AppleTalk Echo
205,tcp,at-5,AppleTalk Unused
205,udp,at-5,AppleTalk Unused
206,tcp,at-zis,AppleTalk Zone Information
206,udp,at-zis,AppleTalk Zone Information
207,tcp,at-7,AppleTalk Unused
207,udp,at-7,AppleTalk Unused
208,tcp,at-8,AppleTalk Unused
208,udp,at-8,AppleTalk Unused
209,tcp,qmtp,The Quick Mail Transfer Protocol
209,udp,qmtp,The Quick Mail Transfer Protocol
210,tcp,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,udp,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
211,tcp,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,udp,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
212,tcp,anet,ATEXSSTR
212,udp,anet,ATEXSSTR
213,tcp,ipx,IPX
213,udp,ipx,IPX
214,tcp,vmpwscs,VM PWSCS
214,udp,vmpwscs,VM PWSCS
215,tcp,softpc,Insignia Solutions
215,udp,softpc,Insignia Solutions
216,tcp,CAIlic,Computer Associates Int'l License Server
216,udp,CAIlic,Computer Associates Int'l License Server
217,tcp,dbase,dBASE Unix
217,udp,dbase,dBASE Unix
218,tcp,mpp,Netix Message Posting Protocol
218,udp,mpp,Netix Message Posting Protocol
219,tcp,uarps,Unisys ARPs
219,udp,uarps,Unisys ARPs
220,tcp,imap3,Interactive Mail Access Protocol v3
220,udp,imap3,Interactive Mail Access Protocol v3
221,tcp,fln-spx,Berkeley rlogind with SPX auth
221,udp,fln-spx,Berkeley rlogind with SPX auth
222,tcp,rsh-spx,Berkeley rshd with SPX auth
222,udp,rsh-spx,Berkeley rshd with SPX auth
223,tcp,cdc,Certificate Distribution Center
223,udp,cdc,Certificate Distribution Center
224,tcp,masqdialer,masqdialer
224,udp,masqdialer,masqdialer
242,tcp,direct,Direct
242,udp,direct,Direct
243,tcp,sur-meas,Survey Measurement
243,udp,sur-meas,Survey Measurement
244,tcp,inbusiness,inbusiness
244,udp,inbusiness,inbusiness
245,tcp,link,LINK
245,udp,link,LINK
246,tcp,dsp3270,Display Systems Protocol
246,udp,dsp3270,Display Systems Protocol
247,tcp,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,udp,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
248,tcp,bhfhs,bhfhs
248,udp,bhfhs,bhfhs
256,tcp,rap,RAP
256,udp,rap,RAP
257,tcp,set,Secure Electronic Transaction
257,udp,set,Secure Electronic Transaction
259,tcp,esro-gen,Efficient Short Remote Operations
259,udp,esro-gen,Efficient Short Remote Operations
260,tcp,openport,Openport
260,udp,openport,Openport
261,tcp,nsiiops,IIOP Name Service over TLS/SSL
261,udp,nsiiops,IIOP Name Service over TLS/SSL
262,tcp,arcisdms,Arcisdms
262,udp,arcisdms,Arcisdms
263,tcp,hdap,HDAP
263,udp,hdap,HDAP
264,tcp,bgmp,BGMP
264,udp,bgmp,BGMP
265,tcp,x-bone-ctl,X-Bone CTL
265,udp,x-bone-ctl,X-Bone CTL
266,tcp,sst,SCSI on ST
266,udp,sst,SCSI on ST
267,tcp,td-service,Tobit David Service Layer
267,udp,td-service,Tobit David Service Layer
268,tcp,td-replica,Tobit David Replica
268,udp,td-replica,Tobit David Replica
269,tcp,manet,MANET Protocols
269,udp,manet,MANET Protocols
270,udp,gist,Q-mode encapsulation for GIST messages
271,tcp,pt-tls,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
280,tcp,http-mgmt,http-mgmt
280,udp,http-mgmt,http-mgmt
281,tcp,personal-link,Personal Link
281,udp,personal-link,Personal Link
282,tcp,cableport-ax,Cable Port A/X
282,udp,cableport-ax,Cable Port A/X
283,tcp,rescap,rescap
283,udp,rescap,rescap
284,tcp,corerjd,corerjd
284,udp,corerjd,corerjd
286,tcp,fxp,FXP Communication
286,udp,fxp,FXP Communication
287,tcp,k-block,K-BLOCK
287,udp,k-block,K-BLOCK
300,tcp,tacacss,TLS Secure Login Host Protocol (TACACSS)
308,tcp,novastorbakcup,Novastor Backup
308,udp,novastorbakcup,Novastor Backup
309,tcp,entrusttime,EntrustTime
309,udp,entrusttime,EntrustTime
310,tcp,bhmds,bhmds
310,udp,bhmds,bhmds
311,tcp,asip-webadmin,AppleShare IP WebAdmin
311,udp,asip-webadmin,AppleShare IP WebAdmin
312,tcp,vslmp,VSLMP
312,udp,vslmp,VSLMP
313,tcp,magenta-logic,Magenta Logic
313,udp,magenta-logic,Magenta Logic
314,tcp,opalis-robot,Opalis Robot
314,udp,opalis-robot,Opalis Robot
315,tcp,dpsi,DPSI
315,udp,dpsi,DPSI
316,tcp,decauth,decAuth
316,udp,decauth,decAuth
317,tcp,zannet,Zannet
317,udp,zannet,Zannet
318,tcp,pkix-timestamp,PKIX TimeStamp
318,udp,pkix-timestamp,PKIX TimeStamp
319,tcp,ptp-event,PTP Event
319,udp,ptp-event,PTP Event
320,tcp,ptp-general,PTP General
320,udp,ptp-general,PTP General
321,tcp,pip,PIP
321,udp,pip,PIP
322,tcp,rtsps,RTSPS
322,udp,rtsps,RTSPS
323,tcp,rpki-rtr,Resource PKI to Router Protocol
324,tcp,rpki-rtr-tls,Resource PKI to Router Protocol over TLS
333,tcp,texar,Texar Security Port
333,udp,texar,Texar Security Port
344,tcp,pdap,Prospero Data Access Protocol
344,udp,pdap,Prospero Data Access Protocol
345,tcp,pawserv,Perf Analysis Workbench
345,udp,pawserv,Perf Analysis Workbench
346,tcp,zserv,Zebra server
346,udp,zserv,Zebra server
347,tcp,fatserv,Fatmen Server
347,udp,fatserv,Fatmen Server
348,tcp,csi-sgwp,Cabletron Management Protocol
348,udp,csi-sgwp,Cabletron Management Protocol
349,tcp,mftp,mftp
349,udp,mftp,mftp
350,tcp,matip-type-a,MATIP Type A
350,udp,matip-type-a,MATIP Type A
351,tcp,matip-type-b,MATIP Type B
351,udp,matip-type-b,MATIP Type B
352,tcp,dtag-ste-sb,DTAG
352,udp,dtag-ste-sb,DTAG
353,tcp,ndsauth,NDSAUTH
353,udp,ndsauth,NDSAUTH
354,tcp,bh611,bh611
354,udp,bh611,bh611
355,tcp,datex-asn,DATEX-ASN
355,udp,datex-asn,DATEX-ASN
356,tcp,cloanto-net-1,Cloanto Net 1
356,udp,cloanto-net-1,Cloanto Net 1
357,tcp,bhevent,bhevent
357,udp,bhevent,bhevent
358,tcp,shrinkwrap,Shrinkwrap
358,udp,shrinkwrap,Shrinkwrap
360,tcp,scoi2odialog,scoi2odialog
360,udp,scoi2odialog,scoi2odialog
361,tcp,semantix,Semantix
361,udp,semantix,Semantix
362,tcp,srssend,SRS Send
362,udp,srssend,SRS Send
363,tcp,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,udp,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
364,tcp,aurora-cmgr,Aurora CMGR
364,udp,aurora-cmgr,Aurora CMGR
365,tcp,dtk,DTK
365,udp,dtk,DTK
366,tcp,odmr,ODMR
366,udp,odmr,ODMR
367,tcp,mortgageware,MortgageWare
367,udp,mortgageware,MortgageWare
368,tcp,qbikgdp,QbikGDP
368,udp,qbikgdp,QbikGDP
369,tcp,rpc2portmap,rpc2portmap
369,udp,rpc2portmap,rpc2portmap
370,tcp,codaauth2,codaauth2
370,udp,codaauth2,codaauth2
371,tcp,clearcase,Clearcase
371,udp,clearcase,Clearcase
372,tcp,ulistproc,ListProcessor
372,udp,ulistproc,ListProcessor
373,tcp,legent-1,Legent Corporation
373,udp,legent-1,Legent Corporation
374,tcp,legent-2,Legent Corporation
374,udp,legent-2,Legent Corporation
375,tcp,hassle,Hassle
375,udp,hassle,Hassle
376,tcp,nip,Amiga Envoy Network Inquiry Protocol
376,udp,nip,Amiga Envoy Network Inquiry Protocol
377,tcp,tnETOS,NEC Corporation
377,udp,tnETOS,NEC Corporation
378,tcp,dsETOS,NEC Corporation
378,udp,dsETOS,NEC Corporation
379,tcp,is99c,TIA/EIA/IS-99 modem client
379,udp,is99c,TIA/EIA/IS-99 modem client
380,tcp,is99s,TIA/EIA/IS-99 modem server
380,udp,is99s,TIA/EIA/IS-99 modem server
381,tcp,hp-collector,hp performance data collector
381,udp,hp-collector,hp performance data collector
382,tcp,hp-managed-node,hp performance data managed node
382,udp,hp-managed-node,hp performance data managed node
383,tcp,hp-alarm-mgr,hp performance data alarm manager
383,udp,hp-alarm-mgr,hp performance data alarm manager
384,tcp,arns,A Remote Network Server System
384,udp,arns,A Remote Network Server System
385,tcp,ibm-app,IBM Application
385,udp,ibm-app,IBM Application
386,tcp,asa,ASA Message Router Object Def.
386,udp,asa,ASA Message Router Object Def.
387,tcp,aurp,Appletalk Update-Based Routing Pro.
387,udp,aurp,Appletalk Update-Based Routing Pro.
388,tcp,unidata-ldm,Unidata LDM
388,udp,unidata-ldm,Unidata LDM
389,tcp,ldap,Lightweight Directory Access Protocol
389,udp,ldap,Lightweight Directory Access Protocol
390,tcp,uis,UIS
390,udp,uis,UIS
391,tcp,synotics-relay,SynOptics SNMP Relay Port
391,udp,synotics-relay,SynOptics SNMP Relay Port
392,tcp,synotics-broker,SynOptics Port Broker Port
392,udp,synotics-broker,SynOptics Port Broker Port
393,tcp,meta5,Meta5
393,udp,meta5,Meta5
394,tcp,embl-ndt,EMBL Nucleic Data Transfer
394,udp,embl-ndt,EMBL Nucleic Data Transfer
395,tcp,netcp,NetScout Control Protocol
395,udp,netcp,NetScout Control Protocol
396,tcp,netware-ip,Novell Netware over IP
396,udp,netware-ip,Novell Netware over IP
397,tcp,mptn,Multi Protocol Trans. Net.
397,udp,mptn,Multi Protocol Trans. Net.
398,tcp,kryptolan,Kryptolan
398,udp,kryptolan,Kryptolan
399,tcp,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP
399,udp,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP
400,tcp,osb-sd,Oracle Secure Backup
400,udp,osb-sd,Oracle Secure Backup
401,tcp,ups,Uninterruptible Power Supply
401,udp,ups,Uninterruptible Power Supply
402,tcp,genie,Genie Protocol
402,udp,genie,Genie Protocol
403,tcp,decap,decap
403,udp,decap,decap
404,tcp,nced,nced
404,udp,nced,nced
405,tcp,ncld,ncld
405,udp,ncld,ncld
406,tcp,imsp,Interactive Mail Support Protocol
406,udp,imsp,Interactive Mail Support Protocol
407,tcp,timbuktu,Timbuktu
407,udp,timbuktu,Timbuktu
408,tcp,prm-sm,Prospero Resource Manager Sys. Man.
408,udp,prm-sm,Prospero Resource Manager Sys. Man.
409,tcp,prm-nm,Prospero Resource Manager Node Man.
409,udp,prm-nm,Prospero Resource Manager Node Man.
410,tcp,decladebug,DECLadebug Remote Debug Protocol
410,udp,decladebug,DECLadebug Remote Debug Protocol
411,tcp,rmt,Remote MT Protocol
411,udp,rmt,Remote MT Protocol
412,tcp,synoptics-trap,Trap Convention Port
412,udp,synoptics-trap,Trap Convention Port
413,tcp,smsp,Storage Management Services Protocol
413,udp,smsp,Storage Management Services Protocol
414,tcp,infoseek,InfoSeek
414,udp,infoseek,InfoSeek
415,tcp,bnet,BNet
415,udp,bnet,BNet
416,tcp,silverplatter,Silverplatter
416,udp,silverplatter,Silverplatter
417,tcp,onmux,Onmux
417,udp,onmux,Onmux
418,tcp,hyper-g,Hyper-G
418,udp,hyper-g,Hyper-G
419,tcp,ariel1,Ariel 1
419,udp,ariel1,Ariel 1
420,tcp,smpte,SMPTE
420,udp,smpte,SMPTE
421,tcp,ariel2,Ariel 2
421,udp,ariel2,Ariel 2
422,tcp,ariel3,Ariel 3
422,udp,ariel3,Ariel 3
423,tcp,opc-job-start,IBM Operations Planning and Control Start
423,udp,opc-job-start,IBM Operations Planning and Control Start
424,tcp,opc-job-track,IBM Operations Planning and Control Track
424,udp,opc-job-track,IBM Operations Planning and Control Track
425,tcp,icad-el,ICAD
425,udp,icad-el,ICAD
426,tcp,smartsdp,smartsdp
426,udp,smartsdp,smartsdp
427,tcp,svrloc,Server Location
427,udp,svrloc,Server Location
428,tcp,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
428,udp,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
429,tcp,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
429,udp,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
430,tcp,utmpsd,UTMPSD
430,udp,utmpsd,UTMPSD
431,tcp,utmpcd,UTMPCD
431,udp,utmpcd,UTMPCD
432,tcp,iasd,IASD
432,udp,iasd,IASD
433,tcp,nnsp,NNTP for transit servers (NNSP)
433,udp,nnsp,NNTP for transit servers (NNSP)
434,tcp,mobileip-agent,MobileIP-Agent
434,udp,mobileip-agent,MobileIP-Agent
435,tcp,mobilip-mn,MobilIP-MN
435,udp,mobilip-mn,MobilIP-MN
436,tcp,dna-cml,DNA-CML
436,udp,dna-cml,DNA-CML
437,tcp,comscm,comscm
437,udp,comscm,comscm
438,tcp,dsfgw,dsfgw
438,udp,dsfgw,dsfgw
439,tcp,dasp,dasp
439,udp,dasp,dasp
440,tcp,sgcp,sgcp
